站号,站点名称,时间,温度,气压,湿度,风向,风速,降水量,能见度
58933,屏南,20240812161300,3.00,1019.30,82.30,230.00,4.40,15.70,35.10
58936,仙游,20240812161300,21.10,958.30,21.70,233.50,9.70,15.90,13.40
58944,平潭,20240812161300,17.50,978.00,61.00,154.40,1.40,12.00,38.80
59113,永定,20240812161300,19.80,1020.10,12.60,259.80,0.60,10.60,34.00
59126,漳州,20240812161300,29.70,1049.80,15.50,37.80,9.10,7.80,23.00
59133,崇武,20240812161300,23.70,973.50,18.20,349.90,7.00,1.10,18.60
59134,厦门,20240812161300,11.70,1007.00,32.00,214.40,0.30,1.10,8.90
59321,东山,20240812161300,6.70,974.30,62.90,231.80,4.40,11.50,11.60
52323,马鬃山,20240812161300,10.30,972.10,45.70,245.20,7.20,10.40,3.00
52418,敦煌,20240812161300,6.50,1024.30,31.30,260.30,3.00,2.70,5.40
52424,瓜州,20240812161300,10.10,1029.80,44.00,142.00,6.80,3.30,36.50
52436,玉门镇,20240812161300,2.30,954.40,20.60,159.30,8.70,3.50,31.10
52446,鼎新,20240812161300,23.30,1049.00,87.90,173.80,6.40,6.80,19.10
52447,金塔,20240812161300,8.60,995.30,82.10,95.10,9.60,14.60,30.60
52533,酒泉,20240812161300,2.60,983.30,86.00,327.90,3.10,7.30,25.20
52546,高台,20240812161300,15.20,1016.60,31.70,97.50,6.20,1.50,12.00
52652,张掖,20240812161300,0.10,991.00,33.10,168.40,5.20,9.10,22.30
52661,山丹,20240812161300,6.60,969.90,56.60,325.20,0.40,5.90,15.60
52674,永昌,20240812161300,25.00,982.60,81.40,227.90,5.90,0.70,31.00
52679,武威,20240812161300,19.10,1018.00,56.20,304.30,9.80,13.90,37.00
52681,民勤,20240812161300,31.00,1045.40,49.10,226.10,1.60,7.40,29.70
52787,乌鞘岭,20240812161300,21.90,1033.70,32.00,358.50,8.90,3.80,39.00
52797,景泰,20240812161300,34.30,1027.80,49.80,299.40,0.40,11.20,2.50
52884,皋兰,20240812161300,31.30,993.90,23.50,250.60,7.10,1.80,30.10
52895,靖远,20240812161300,1.90,952.90,77.20,48.10,3.60,15.50,34.20
52983,榆中,20240812161300,0.20,1048.90,54.00,172.10,2.70,7.20,5.90
52984,临夏,20240812161300,1.60,985.10,64.90,100.90,2.90,1.90,35.50
52986,临洮,20240812161300,33.50,971.10,48.00,194.80,5.10,15.60,0.70
52996,华家岭,20240812161300,12.20,951.40,30.80,24.40,4.30,10.00,32.50
53821,环县,20240812161300,23.10,959.50,86.80,138.40,3.70,6.00,25.70
53915,崆峒,20240812161300,31.40,1002.40,56.80,48.00,2.70,10.90,24.10
53923,西峰,20240812161300,0.80,986.80,29.70,29.30,8.00,9.70,19.40
56074,玛曲,20240812161300,23.30,999.30,60.10,110.50,5.90,10.90,10.10
56080,合作,20240812161300,0.30,1014.20,42.70,63.40,8.90,8.70,37.00
56093,岷县,20240812161300,7.60,1035.90,88.00,234.20,8.30,4.80,2.20
56096,武都,20240812161300,31.10,1021.80,91.60,151.90,8.60,1.30,16.50
57014,麦积,20240812161300,26.80,1049.00,65.90,320.10,8.40,3.20,25.90
57996,南雄,20240812161300,4.30,952.10,46.00,159.80,1.50,9.90,18.50
59072,连州,20240812161300,15.70,1048.60,90.70,133.50,4.50,4.70,7.80
59082,韶关,20240812161300,13.10,978.80,35.20,339.20,0.60,2.80,6.30
59087,佛冈,20240812161300,9.40,978.10,68.00,121.50,7.20,5.90,1.60
59088,英德,20240812161300,20.80,955.10,77.50,145.10,2.50,10.80,20.20
59096,连平,20240812161300,14.20,962.70,13.90,144.90,6.60,12.60,38.50
59097,新丰,20240812161300,1.10,1003.40,26.30,169.20,7.40,6.70,23.60
59107,龙川,20240812161300,18.00,1023.60,35.20,317.60,1.70,3.20,39.10
59116,大埔,20240812161300,19.10,982.40,86.00,294.90,2.70,10.70,35.30
59117,梅县,20240812161300,0.20,1027.50,45.50,269.70,5.50,9.40,14.60
59271,广宁,20240812161300,2.10,1019.20,78.30,18.40,7.80,14.60,22.90
59278,高要,20240812161300,5.20,1026.60,91.70,88.40,0.20,2.90,6.10
59280,清远,20240812161300,21.90,975.40,50.40,216.10,7.80,12.40,26.20
59287,广州,20240812161300,5.70,980.40,71.50,336.20,7.90,8.20,5.90
59289,东莞,20240812161300,28.60,991.60,40.50,0.70,0.90,0.10,19.20
59293,河源,20240812161300,8.70,1023.90,47.30,219.20,0.50,15.00,27.60
59294,增城,20240812161300,30.70,976.00,93.70,287.90,6.60,5.40,19.20
59298,惠阳,20240812161300,34.60,991.00,45.40,225.30,1.40,11.00,1.50
59303,五华,20240812161300,14.60,1009.20,12.60,323.20,6.10,10.40,39.20
59304,紫金,20240812161300,12.20,1012.50,93.60,106.10,6.40,2.90,5.30
59306,揭西,20240812161300,12.00,1019.90,13.00,27.70,1.10,5.90,35.60
59310,丰顺,20240812161300,32.70,1001.30,24.80,112.50,7.60,7.50,17.90
59316,汕头,20240812161300,9.00,1012.50,14.60,168.80,6.90,9.30,7.30
59317,惠来,20240812161300,23.00,1045.70,26.50,250.40,3.40,4.10,36.60
59324,南澳,20240812161300,24.80,1001.00,67.10,116.80,6.10,6.10,19.80
59456,信宜,20240812161300,7.50,997.30,30.60,220.20,8.60,12.70,8.00
59462,罗定,20240812161300,21.40,966.20,61.10,335.70,3.90,11.70,24.50
59478,台山,20240812161300,21.00,998.20,21.80,239.10,9.10,14.30,4.70
59485,中山,20240812161300,12.50,1023.60,56.50,217.60,9.80,1.70,14.40
59488,珠海,20240812161300,11.20,993.80,49.40,333.70,1.10,8.10,29.10
59493,深圳,20240812161300,15.00,966.00,97.10,41.60,7.40,2.20,17.30
59501,汕尾,20240812161300,11.30,959.20,87.10,87.30,2.60,4.90,1.60
59658,湛江,20240812161300,22.00,1032.50,31.60,79.50,1.30,6.10,17.10
59663,阳江,20240812161300,11.20,1001.80,16.80,102.40,0.90,3.40,36.10
59664,电白,20240812161300,27.00,1036.70,15.20,202.20,2.70,1.60,3.90
59673,上川岛,20240812161300,5.10,1045.80,96.40,266.60,0.20,5.50,29.20
59754,徐闻,20240812161300,32.90,1047.70,70.80,299.90,0.20,0.40,14.60
57947,融安,20240812161300,11.70,960.60,67.00,277.90,7.60,9.00,15.50
57957,桂林,20240812161300,23.50,970.40,26.80,345.80,7.20,11.30,28.00
57958,雁山,20240812161300,14.90,1034.90,87.10,355.30,0.70,3.60,21.90
59021,凤山,20240812161300,6.20,1002.30,91.10,169.10,0.00,5.20,24.20
59023,河池,20240812161300,15.40,994.80,58.80,272.20,0.60,13.00,30.10
59027,巴马,20240812161300,18.30,960.00,50.90,216.80,0.50,7.70,37.80
59037,都安,20240812161300,7.70,985.00,45.90,282.80,9.90,8.20,38.10
59046,柳州,20240812161300,30.90,997.00,15.30,32.10,9.40,5.60,36.40
59058,蒙山,20240812161300,4.40,1008.80,65.80,210.10,8.90,1.80,2.30
59065,八步,20240812161300,24.50,980.90,57.60,237.80,0.90,12.50,9.90
59209,那坡,20240812161300,21.60,1001.50,47.70,344.30,6.50,12.80,22.40
59211,百色,20240812161300,31.70,982.30,25.70,132.80,9.30,15.00,0.10
59218,靖西,20240812161300,23.90,962.70,26.50,78.60,6.70,15.50,8.70
59228,平果,20240812161300,10.60,1027.30,61.00,355.20,8.20,14.60,28.20
59242,来宾,20240812161300,24.40,992.40,83.30,171.00,3.90,12.30,30.60
59254,桂平,20240812161300,20.40,1010.30,83.00,137.30,2.60,12.70,30.10
59265,梧州,20240812161300,12.20,1045.00,95.40,301.10,7.70,1.10,19.70
59417,龙州,20240812161300,24.60,994.60,53.60,75.30,2.00,10.60,25.70
59431,南宁,20240812161300,15.20,1018.50,59.10,69.80,0.90,2.50,0.90
59446,灵山,20240812161300,14.80,964.00,51.50,60.40,4.30,15.70,37.80
59453,玉林,20240812161300,32.20,958.40,33.10,309.40,8.60,0.60,10.50
59626,东兴,20240812161300,21.30,950.90,15.50,156.00,5.60,1.10,26.50
59631,防城,20240812161300,12.60,1049.00,52.20,213.00,7.50,13.30,2.90
59632,钦州,20240812161300,33.40,989.00,89.00,218.40,8.20,1.70,38.80
59644,北海,20240812161300,17.60,1035.40,41.80,324.80,9.00,10.20,29.40
59647,涠洲岛,20240812161300,22.70,984.00,89.90,269.20,4.90,4.60,20.40
56691,威宁,20240812161300,20.50,999.80,46.90,323.30,4.00,3.10,11.60
56693,水城,20240812161300,6.50,1025.70,24.50,125.10,9.90,0.70,23.50
56792,普安,20240812161300,18.20,984.40,97.50,160.80,5.00,4.60,0.80
56793,盘县,20240812161300,24.00,964.80,60.20,106.90,8.80,1.30,16.20
57606,桐梓,20240812161300,13.90,1031.20,96.60,299.50,6.20,11.60,22.80
57614,习水,20240812161300,5.20,1047.90,94.40,56.90,8.80,4.10,22.00
57625,正安,20240812161300,23.80,1018.00,90.70,37.00,2.40,2.20,33.00
57647,松桃,20240812161300,22.40,1008.00,73.80,316.70,2.80,11.20,23.60
57707,毕节,20240812161300,26.80,1049.70,95.00,75.80,0.90,15.70,10.50
57710,仁怀,20240812161300,12.30,960.50,23.30,192.50,8.40,15.00,9.40
57712,汇川,20240812161300,27.30,952.30,86.60,71.30,0.40,3.30,28.30
57718,息烽,20240812161300,28.00,990.80,51.30,240.70,8.80,2.30,37.40
57722,湄潭,20240812161300,26.90,974.70,96.20,343.70,9.60,3.30,14.70
57729,余庆,20240812161300,25.80,1013.00,95.20,158.10,8.70,13.80,30.70
57731,思南,20240812161300,17.10,962.00,75.30,169.60,4.30,14.00,36.10
57741,铜仁,20240812161300,4.90,979.30,94.40,268.00,5.30,0.90,28.70
57803,黔西,20240812161300,34.20,961.20,91.30,311.10,1.10,13.50,10.00
57805,织金,20240812161300,15.80,978.80,14.80,266.60,7.00,5.20,24.70
57806,安顺,20240812161300,0.70,969.00,70.60,68.10,1.00,6.00,32.90
57816,贵阳,20240812161300,5.60,973.20,49.10,255.70,7.70,5.50,38.90
57825,凯里,20240812161300,8.10,984.50,62.80,52.50,0.90,12.10,3.60
57827,都匀,20240812161300,2.30,971.70,48.80,258.10,5.70,12.80,39.90
57832,三穗,20240812161300,2.80,964.10,64.60,328.50,8.30,14.50,36.60
57839,黎平,20240812161300,9.60,1021.70,19.60,75.20,4.90,10.70,6.10
57840,天柱,20240812161300,12.80,957.40,65.10,70.90,7.10,11.90,3.40
57902,兴仁,20240812161300,33.10,1037.30,52.20,220.60,4.20,11.10,38.70
57906,望谟,20240812161300,24.90,1005.10,28.60,282.70,9.20,2.40,11.30
57907,兴义,20240812161300,2.60,1018.90,33.10,132.20,5.80,0.70,2.60
57910,紫云,20240812161300,10.70,1016.60,18.70,288.60,4.10,1.00,34.70
57912,惠水,20240812161300,1.20,962.20,53.40,204.50,9.50,11.60,25.10
57916,罗甸,20240812161300,23.90,1031.90,19.00,28.80,7.10,4.80,31.60
57922,独山,20240812161300,16.50,1021.30,38.10,139.10,5.40,12.40,26.50
57926,荔波,20240812161300,1.30,954.40,54.30,317.20,1.00,4.30,1.00
57932,榕江,20240812161300,0.30,967.30,91.00,166.80,4.70,0.40,11.30
59758,海口,20240812161300,29.40,985.20,91.70,118.30,2.40,2.70,27.20
59838,东方,20240812161300,34.70,968.80,24.00,306.20,0.10,15.30,0.60
59845,儋州,20240812161300,5.70,1013.70,22.30,72.00,8.10,6.70,24.50
59849,琼中,20240812161300,34.40,985.00,30.70,114.70,7.50,11.70,1.50
59855,琼海,20240812161300,7.30,1026.10,38.10,326.90,6.60,11.00,5.30
59948,三亚,20240812161300,4.00,990.90,67.70,103.70,9.70,9.70,5.10
59954,陵水,20240812161300,30.00,1034.20,70.90,65.80,7.90,7.30,13.00
59981,西沙,20240812161300,6.30,975.20,97.50,5.70,0.20,2.30,35.60
53399,张北,20240812161300,7.70,975.20,62.40,255.20,6.60,11.70,22.20
53593,蔚县,20240812161300,18.20,1000.70,52.70,202.20,1.60,2.40,21.10
53698,石家庄,20240812161300,31.60,957.30,21.40,351.60,1.50,6.40,17.40
53798,邢台,20240812161300,14.60,970.90,30.50,245.90,6.10,7.20,6.80
54308,丰宁,20240812161300,11.50,1011.50,37.70,324.40,2.00,14.10,19.70
54311,围场,20240812161300,28.60,1035.80,97.10,341.80,6.50,11.80,19.20
54401,张家口,20240812161300,18.30,1000.20,65.50,9.90,7.50,8.90,1.60
54405,怀来,20240812161300,29.20,964.50,74.20,258.80,0.60,12.70,20.00
54423,承德,20240812161300,26.70,978.00,62.00,138.20,4.70,3.70,22.70
54429,遵化,20240812161300,6.70,1039.80,67.60,45.30,0.80,2.70,22.30
54436,青龙,20240812161300,12.30,984.50,51.50,45.90,9.90,8.20,11.00
54449,秦皇岛,20240812161300,32.60,1034.40,77.80,196.80,8.90,6.10,10.80
54518,霸州,20240812161300,24.80,996.80,80.80,41.50,0.00,8.10,15.00
54534,唐山,20240812161300,9.80,1017.80,32.90,276.70,2.90,14.50,37.30
54535,唐海,20240812161300,8.70,990.40,99.60,146.30,4.90,8.40,32.20
54539,乐亭,20240812161300,20.00,978.60,83.20,142.60,3.00,3.10,19.40
54602,保定,20240812161300,27.20,1003.20,90.20,192.00,5.20,0.30,28.70
54606,饶阳,20240812161300,25.50,1049.60,78.90,330.50,7.40,15.80,7.20
54618,泊头,20240812161300,5.30,987.50,44.50,139.30,7.90,3.40,5.60
54624,黄骅,20240812161300,3.00,1001.00,37.80,138.00,9.60,4.20,0.60
54705,南宫,20240812161300,12.90,952.50,90.00,50.30,0.90,5.50,37.50
53898,安阳,20240812161300,31.20,1027.00,46.20,61.90,6.60,4.40,32.40
53986,新乡,20240812161300,34.00,1042.20,19.60,279.60,9.80,15.40,14.10
57051,三门峡,20240812161300,2.70,1004.00,89.70,175.80,5.00,4.70,29.00
57067,卢氏,20240812161300,14.80,978.90,69.70,7.70,6.70,4.90,13.20
57071,孟津,20240812161300,27.60,960.40,50.70,239.00,7.40,8.20,20.90
57077,栾川,20240812161300,19.20,982.60,73.30,218.50,0.00,8.20,13.30
57083,郑州,20240812161300,29.80,1017.60,37.40,312.80,6.80,15.10,3.80
57084,嵩山,20240812161300,6.80,1049.80,12.80,301.60,3.90,6.50,24.60
57089,许昌,20240812161300,25.60,1017.50,33.00,223.50,3.10,11.80,22.50
57091,开封,20240812161300,15.80,1001.20,58.70,355.00,9.00,12.00,8.70
57156,西峡,20240812161300,14.00,990.20,12.00,184.10,3.00,9.40,16.90
57178,南阳,20240812161300,5.00,966.50,15.90,336.80,1.50,8.70,33.70
57181,宝丰,20240812161300,25.50,956.50,73.50,201.30,9.20,14.50,24.80
57193,西华,20240812161300,27.50,975.50,92.60,93.30,1.90,1.30,3.60
57285,桐柏,20240812161300,5.90,998.50,52.30,245.20,4.00,2.40,29.30
57290,驻马店,20240812161300,22.20,1029.00,41.40,157.30,5.60,1.30,14.10
57297,信阳,20240812161300,32.30,991.20,73.00,133.00,7.70,0.50,14.40
58005,商丘,20240812161300,2.10,988.30,54.40,249.70,3.80,0.20,18.20
58111,永城,20240812161300,30.80,978.70,91.80,86.70,7.30,5.40,7.10
58208,固始,20240812161300,31.30,989.00,56.40,23.50,8.00,9.00,20.80
50136,漠河,20240812161300,18.80,1000.30,60.20,71.20,6.80,4.40,39.40
50246,塔河,20240812161300,19.70,975.00,13.80,281.90,3.30,3.50,11.60
50247,呼中,20240812161300,17.30,960.90,85.00,178.10,9.70,6.90,20.10
50349,新林,20240812161300,17.20,981.50,77.20,233.50,0.50,2.90,12.20
50353,呼玛,20240812161300,28.50,981.90,98.30,132.60,7.50,5.70,39.00
50442,加格达奇,20240812161300,9.30,992.10,68.40,274.00,2.30,7.50,35.90
50468,爱辉,20240812161300,0.80,1041.00,22.70,23.20,7.10,3.80,36.50
50557,嫩江,20240812161300,17.00,999.90,41.80,144.20,1.40,2.30,12.90
50564,孙吴,20240812161300,12.10,1043.20,25.20,130.80,5.10,0.70,23.40
50656,北安,20240812161300,7.80,1047.60,32.40,2.10,9.70,12.90,36.20
50658,克山,20240812161300,17.30,998.40,37.30,313.30,4.60,9.30,16.50
50674,乌伊岭,20240812161300,26.90,1038.30,18.30,119.00,8.20,12.10,23.20
50739,龙江,20240812161300,4.80,1004.40,26.20,157.10,2.80,0.60,7.90
50742,富裕,20240812161300,23.20,955.30,26.60,121.00,2.90,1.00,3.20
50745,齐齐哈尔,20240812161300,12.80,975.10,54.60,350.30,8.70,13.90,23.70
50756,海伦,20240812161300,28.30,952.40,25.40,70.30,0.70,11.70,24.50
50758,明水,20240812161300,19.10,1049.10,17.70,334.10,8.70,3.90,11.20
50774,伊春,20240812161300,16.60,965.70,74.40,134.80,1.00,1.00,11.00
50778,同江,20240812161300,4.10,975.20,39.40,292.20,0.40,12.00,2.50
50788,富锦,20240812161300,34.30,1011.20,61.40,277.70,3.60,0.90,23.20
50844,泰来,20240812161300,14.60,1030.60,22.90,113.70,4.90,2.60,3.10
50853,北林,20240812161300,33.70,959.80,54.30,350.50,5.50,12.70,0.50
50854,安达,20240812161300,31.80,974.90,41.50,140.90,0.20,5.00,28.30
50862,铁力,20240812161300,20.80,970.20,16.10,210.10,1.40,7.50,3.00
50873,佳木斯,20240812161300,20.30,1014.40,51.40,209.90,0.30,0.30,38.80
50877,依兰,20240812161300,15.20,1025.00,71.90,54.10,4.80,11.50,4.60
50888,宝清,20240812161300,20.50,1025.40,95.10,127.30,0.40,11.90,23.50
50950,肇州,20240812161300,0.80,1002.90,91.80,336.80,8.30,13.90,26.90
50953,哈尔滨,20240812161300,9.80,995.50,65.20,25.30,5.10,14.60,30.40
50955,双城,20240812161300,20.40,996.20,39.20,255.90,1.20,2.40,30.00
50963,通河,20240812161300,16.20,1003.10,99.90,161.90,8.50,14.20,9.30
50968,尚志,20240812161300,9.10,1032.10,32.80,85.10,0.20,12.60,21.90
50973,勃利,20240812161300,23.60,987.80,78.90,3.60,8.50,13.30,28.90
50978,鸡西,20240812161300,18.60,965.90,99.30,44.30,2.10,3.70,20.20
50983,虎林,20240812161300,13.50,1015.30,85.40,174.90,8.40,3.30,16.90
54094,牡丹江,20240812161300,12.00,1035.60,96.20,126.30,2.90,6.20,11.50
54096,绥芬河,20240812161300,23.20,1008.80,18.60,167.00,1.80,8.70,5.80
57251,郧西,20240812161300,25.30,952.00,34.70,229.20,8.00,9.20,33.50
57256,十堰,20240812161300,0.30,998.10,43.70,273.90,3.50,3.10,4.00
57259,房县,20240812161300,1.90,1019.70,80.90,174.10,5.30,10.30,20.50
57265,老河口,20240812161300,8.40,986.50,77.20,181.80,0.60,15.80,28.80
57278,襄樊,20240812161300,32.40,958.60,89.80,168.00,0.60,3.70,37.20
57279,枣阳,20240812161300,28.80,958.90,50.70,199.20,2.30,7.60,28.30
57355,巴东,20240812161300,10.80,1003.90,42.30,157.70,3.60,8.50,7.10
57358,秭归,20240812161300,29.10,960.80,22.80,142.80,2.60,10.00,4.60
57359,兴山,20240812161300,28.20,1031.00,58.70,175.60,4.80,2.50,18.80
57363,南漳,20240812161300,15.70,988.30,36.00,254.50,2.40,9.90,8.90
57378,钟祥,20240812161300,24.70,1006.70,52.40,200.50,0.70,4.00,33.50
57381,随州,20240812161300,29.50,958.50,85.80,318.90,4.50,10.60,21.70
57395,大悟,20240812161300,12.10,953.80,81.50,270.30,4.80,2.20,1.20
57399,麻城,20240812161300,14.70,1014.00,90.00,280.40,2.30,7.30,10.10
57439,利川,20240812161300,14.70,958.40,19.10,214.70,5.20,3.50,10.40
57445,建始,20240812161300,26.10,996.70,73.90,95.80,5.20,10.90,9.90
57447,恩施,20240812161300,0.00,983.50,81.60,102.10,7.30,0.40,7.70
57458,五峰,20240812161300,32.20,968.60,28.90,147.10,2.60,8.10,22.70
57461,宜昌,20240812161300,5.10,1045.40,82.80,100.10,9.10,15.10,34.80
57476,荆州,20240812161300,9.30,983.90,25.20,290.60,0.60,12.40,21.60
57482,孝感,20240812161300,15.90,969.30,11.60,56.10,2.90,10.40,38.20
57483,天门,20240812161300,20.40,996.80,95.90,2.80,0.70,2.00,29.90
57493,江夏,20240812161300,13.50,999.40,57.80,338.70,4.80,0.70,38.80
57494,武汉,20240812161300,34.10,1017.80,48.80,258.60,6.90,13.20,29.20
57545,来凤,20240812161300,12.60,1023.60,56.10,348.70,8.20,5.70,4.80
57573,监利,20240812161300,26.10,1006.10,38.20,281.70,8.20,15.40,4.60
57581,洪湖,20240812161300,33.90,1019.40,89.70,357.40,8.80,5.60,11.30
57583,嘉鱼,20240812161300,3.90,1028.30,75.30,118.00,1.30,2.10,16.70
57595,通山,20240812161300,28.50,973.40,41.10,111.10,7.00,7.20,19.80
58402,英山,20240812161300,20.20,970.10,69.80,1.50,6.30,2.00,3.30
58407,黄石,20240812161300,24.70,1027.40,43.10,128.60,2.10,8.80,1.20
58500,阳新,20240812161300,25.90,980.40,32.60,255.00,3.90,9.90,8.30
57554,桑植,20240812161300,30.50,1037.30,50.20,74.00,0.70,5.30,25.10
57562,石门,20240812161300,32.90,973.80,30.10,283.40,3.90,3.90,0.10
57574,南县,20240812161300,10.40,1003.10,48.60,85.10,0.60,1.70,8.90
57584,岳阳,20240812161300,2.70,1044.60,95.40,8.80,0.20,10.00,23.90
57642,保靖,20240812161300,9.20,1001.10,27.40,264.70,3.60,7.60,13.90
57649,吉首,20240812161300,29.30,1014.10,94.20,182.50,7.90,2.30,21.10
57655,沅陵,20240812161300,7.10,979.40,51.20,222.50,7.70,11.90,22.90
57662,常德,20240812161300,33.30,1006.80,91.80,316.20,1.40,8.40,0.30
57669,安化,20240812161300,21.70,1015.60,64.20,351.10,6.80,6.80,11.00
57671,沅江,20240812161300,5.40,964.40,74.90,130.00,8.50,3.10,27.70
57673,湘阴,20240812161300,26.70,998.60,78.80,148.80,3.20,6.00,11.30
57679,马坡岭,20240812161300,0.90,955.10,69.40,134.50,2.00,8.50,5.90
57682,平江,20240812161300,18.60,1038.90,76.20,215.50,4.60,9.60,1.80
57687,长沙,20240812161300,1.60,982.40,32.80,192.20,6.80,13.70,2.20
57745,芷江,20240812161300,30.60,982.00,25.10,2.30,0.60,1.90,31.10
57749,怀化,20240812161300,19.00,969.20,87.60,160.00,4.30,3.10,9.70
57752,溆浦,20240812161300,1.50,1013.60,45.60,105.40,7.70,13.90,0.90
57758,洞口,20240812161300,17.30,957.50,98.00,148.90,0.00,2.80,21.20
57761,新化,20240812161300,32.00,1033.80,48.60,122.60,5.80,7.00,4.90
57766,邵阳市,20240812161300,6.70,1022.90,21.20,20.70,2.10,12.90,15.90
57774,双峰,20240812161300,11.70,1001.20,45.60,233.20,0.00,12.50,13.80
57776,南岳,20240812161300,27.70,988.40,50.00,0.10,1.10,0.00,24.20
57779,攸县,20240812161300,16.30,968.80,60.60,178.40,2.60,14.50,16.20
57780,株洲,20240812161300,3.50,1003.50,86.40,225.40,6.40,15.60,6.10
57841,靖州,20240812161300,3.80,1041.70,87.30,125.50,2.90,14.10,33.90
57845,通道,20240812161300,13.10,1044.60,87.80,265.90,8.20,1.80,21.20
57853,武冈,20240812161300,9.40,1031.00,75.40,200.90,9.80,9.30,19.30
57857,城步,20240812161300,22.50,985.80,65.60,296.20,4.50,12.00,36.80
57860,邵阳县,20240812161300,21.10,964.80,62.90,239.90,6.60,15.40,0.60
57866,永州,20240812161300,29.70,983.60,29.80,52.90,3.40,8.80,34.00
57872,衡阳市,20240812161300,1.90,955.80,65.20,276.30,6.80,15.80,32.40
57874,常宁,20240812161300,6.60,987.10,61.80,284.30,2.90,10.60,15.70
57889,桂东,20240812161300,27.40,1039.80,42.50,78.80,4.60,2.70,38.70
57965,道县,20240812161300,16.20,996.10,74.60,271.20,4.90,8.40,39.30
57972,郴州,20240812161300,33.40,1047.20,33.30,245.30,3.00,11.70,36.80
57974,嘉禾,20240812161300,19.80,1049.50,29.20,151.60,6.70,12.20,36.00
