站号,站点名称,时间,温度,气压,湿度,风向,风速,降水量,能见度
53915,崆峒,20240811155200,14.80,1012.50,19.50,4.10,2.10,10.70,23.90
53923,西峰,20240811155200,18.90,967.60,84.90,257.30,6.10,3.50,14.90
56074,玛曲,20240811155200,29.10,1001.80,10.90,301.50,5.40,6.70,26.30
56080,合作,20240811155200,31.10,1027.30,22.00,139.60,9.40,14.90,12.60
56093,岷县,20240811155200,9.90,962.40,34.20,175.00,5.00,9.70,19.10
56096,武都,20240811155200,32.30,969.60,98.20,71.20,2.50,4.30,3.70
57014,麦积,20240811155200,8.80,1037.90,13.80,213.00,9.70,6.00,34.50
57996,南雄,20240811155200,25.40,981.90,90.80,106.50,9.20,0.00,6.10
59072,连州,20240811155200,13.80,1024.10,63.90,213.70,6.60,14.20,23.90
59082,韶关,20240811155200,6.60,997.10,43.00,289.10,2.00,9.30,35.50
59087,佛冈,20240811155200,34.70,979.60,79.30,213.50,7.50,0.30,26.50
59088,英德,20240811155200,32.50,1048.30,56.20,222.90,5.40,8.30,9.40
59096,连平,20240811155200,34.60,1030.30,50.80,13.60,9.70,3.90,27.40
59097,新丰,20240811155200,21.30,983.30,91.30,313.10,5.70,1.60,37.40
59107,龙川,20240811155200,22.70,976.10,82.90,187.40,0.90,8.20,36.10
59116,大埔,20240811155200,33.50,1005.80,37.90,356.20,9.30,10.10,19.10
59117,梅县,20240811155200,24.80,971.60,23.70,284.60,7.20,5.70,18.30
59271,广宁,20240811155200,31.90,1019.70,90.90,158.40,8.20,15.40,31.50
59278,高要,20240811155200,8.90,1047.00,98.90,31.60,3.10,13.80,14.20
59280,清远,20240811155200,9.10,979.30,10.40,197.80,0.30,4.30,34.00
59287,广州,20240811155200,4.60,1047.60,68.30,44.40,9.30,11.20,9.10
59289,东莞,20240811155200,31.50,987.00,97.40,218.60,1.90,7.50,17.00
59293,河源,20240811155200,25.10,1040.90,48.50,134.10,8.00,8.60,0.90
59294,增城,20240811155200,21.30,999.60,50.40,355.60,4.10,8.00,28.60
59298,惠阳,20240811155200,14.40,1049.50,47.80,124.10,7.10,2.10,3.70
59303,五华,20240811155200,11.60,998.60,62.80,108.10,5.60,3.40,1.90
59304,紫金,20240811155200,22.50,1028.90,88.90,282.80,9.90,11.40,12.10
59306,揭西,20240811155200,33.10,1045.20,68.30,34.60,0.10,2.70,30.30
59310,丰顺,20240811155200,4.20,999.90,64.10,168.70,9.40,8.00,8.00
59316,汕头,20240811155200,21.50,983.30,31.70,298.20,1.90,3.80,1.50
59317,惠来,20240811155200,22.50,965.20,33.50,50.20,9.40,9.60,13.10
59324,南澳,20240811155200,24.50,1030.30,50.40,167.60,5.50,12.70,2.20
59456,信宜,20240811155200,15.60,992.60,67.70,65.10,7.70,9.90,29.00
59462,罗定,20240811155200,2.10,963.90,97.00,103.70,7.20,11.90,37.10
59478,台山,20240811155200,19.20,953.70,23.80,111.90,4.20,8.50,2.20
59485,中山,20240811155200,18.60,980.20,60.50,298.10,0.50,2.10,25.70
59488,珠海,20240811155200,26.20,1020.10,53.10,212.10,7.90,6.10,37.20
59493,深圳,20240811155200,10.70,978.00,76.20,92.80,7.10,10.40,31.70
59501,汕尾,20240811155200,14.50,1032.30,84.00,343.90,6.10,5.10,15.90
59658,湛江,20240811155200,20.30,1030.80,93.30,339.10,1.00,11.00,37.20
59663,阳江,20240811155200,26.70,970.30,38.10,113.20,0.40,12.40,5.30
59664,电白,20240811155200,13.40,952.50,77.70,174.10,5.70,15.90,22.10
59673,上川岛,20240811155200,32.80,992.30,33.90,42.40,9.80,9.10,21.50
59754,徐闻,20240811155200,1.10,976.20,52.60,136.60,7.10,5.90,35.70
57947,融安,20240811155200,18.30,950.10,42.90,145.30,0.50,6.20,18.50
57957,桂林,20240811155200,1.10,1012.70,59.00,4.50,5.20,0.70,13.80
57958,雁山,20240811155200,31.20,965.80,16.00,129.00,3.30,13.10,6.60
59021,凤山,20240811155200,8.10,1023.40,38.20,274.30,9.70,4.80,10.90
59023,河池,20240811155200,17.00,952.00,91.90,55.30,7.30,10.80,35.80
59027,巴马,20240811155200,17.80,1006.30,24.30,324.00,9.00,12.50,3.70
59037,都安,20240811155200,14.40,950.40,82.80,45.60,6.20,0.80,9.90
59046,柳州,20240811155200,34.50,999.10,96.50,322.70,2.50,7.90,32.20
59058,蒙山,20240811155200,2.40,966.00,38.30,119.40,3.20,0.20,10.00
59065,八步,20240811155200,10.50,985.10,35.80,163.60,6.60,7.40,2.80
59209,那坡,20240811155200,20.60,1013.90,26.50,60.20,4.40,3.30,21.10
59211,百色,20240811155200,30.60,953.30,31.00,225.40,7.60,2.70,28.10
59218,靖西,20240811155200,15.40,967.90,85.50,182.80,9.10,5.80,17.50
59228,平果,20240811155200,2.30,964.10,47.50,108.00,4.40,1.30,31.60
59242,来宾,20240811155200,31.00,998.70,54.40,171.80,7.90,4.20,27.20
59254,桂平,20240811155200,2.30,960.70,88.30,208.10,9.30,7.30,33.50
59265,梧州,20240811155200,16.90,1047.30,96.80,37.50,5.20,0.30,20.40
59417,龙州,20240811155200,24.30,1031.40,87.90,121.80,5.50,4.60,29.80
59431,南宁,20240811155200,24.90,983.90,66.70,86.10,7.90,14.30,13.10
59446,灵山,20240811155200,15.80,967.70,60.30,73.30,8.50,8.70,1.40
59453,玉林,20240811155200,22.80,1013.20,10.20,329.90,0.50,15.00,7.50
59626,东兴,20240811155200,30.90,1024.60,63.10,275.20,6.00,8.20,32.20
59631,防城,20240811155200,31.70,1026.80,12.10,61.80,5.90,2.00,27.90
59632,钦州,20240811155200,8.80,950.30,61.00,284.80,8.10,4.50,38.10
59644,北海,20240811155200,11.80,975.20,19.60,114.80,8.50,1.00,4.70
59647,涠洲岛,20240811155200,19.20,977.20,17.40,35.20,1.80,1.70,25.60
56691,威宁,20240811155200,23.00,1007.10,97.90,19.70,3.90,3.20,1.50
56693,水城,20240811155200,0.10,999.20,64.60,134.10,4.70,12.80,19.00
56792,普安,20240811155200,28.00,1007.40,72.30,299.80,2.60,3.90,14.60
56793,盘县,20240811155200,1.30,982.10,64.60,145.80,9.40,9.20,21.00
57606,桐梓,20240811155200,1.20,968.20,61.80,289.50,5.30,3.70,29.20
57614,习水,20240811155200,34.50,960.10,46.00,19.60,4.50,13.80,28.90
57625,正安,20240811155200,24.30,976.70,47.90,77.30,9.30,12.30,12.40
57647,松桃,20240811155200,17.10,977.40,92.20,283.50,9.60,0.00,24.50
57707,毕节,20240811155200,9.00,1014.50,85.50,315.40,2.70,15.30,4.90
57710,仁怀,20240811155200,23.00,972.30,29.40,342.50,2.40,2.60,2.10
57712,汇川,20240811155200,17.00,1046.40,86.30,41.50,3.10,5.40,34.00
57718,息烽,20240811155200,22.40,959.70,66.40,59.60,2.40,15.90,18.30
57722,湄潭,20240811155200,7.20,1025.90,72.80,161.40,0.40,3.50,32.00
57729,余庆,20240811155200,8.10,1016.00,22.20,21.20,8.30,13.60,38.90
57731,思南,20240811155200,26.00,1002.20,26.30,278.20,8.60,6.60,39.70
57741,铜仁,20240811155200,7.00,1002.00,93.70,244.60,7.00,11.40,19.40
57803,黔西,20240811155200,29.40,1029.30,42.90,171.80,0.40,3.70,8.40
57805,织金,20240811155200,10.90,964.40,20.40,229.20,0.50,0.60,5.60
57806,安顺,20240811155200,29.00,984.20,94.60,75.20,1.60,0.90,33.40
57816,贵阳,20240811155200,30.50,1048.70,58.30,212.50,0.70,14.10,12.30
57825,凯里,20240811155200,27.70,1002.70,61.80,252.30,2.00,0.70,24.10
57827,都匀,20240811155200,17.40,965.70,57.70,348.50,0.10,12.20,13.00
57832,三穗,20240811155200,5.80,950.80,43.80,229.90,0.30,10.40,20.30
57839,黎平,20240811155200,27.10,1004.50,43.80,72.60,3.20,10.10,0.30
57840,天柱,20240811155200,19.20,1049.40,42.70,66.90,2.10,7.70,39.30
57902,兴仁,20240811155200,19.30,954.40,38.60,161.80,5.30,14.40,25.50
57906,望谟,20240811155200,15.70,959.80,33.70,46.50,0.60,7.60,31.60
57907,兴义,20240811155200,16.10,1031.20,62.00,303.30,1.00,13.00,15.90
57910,紫云,20240811155200,19.20,1013.10,51.50,323.40,7.80,0.20,25.60
57912,惠水,20240811155200,24.90,1033.90,10.10,89.30,3.50,1.90,6.30
57916,罗甸,20240811155200,19.10,965.50,67.00,74.80,5.30,4.80,36.50
57922,独山,20240811155200,1.20,1013.60,58.20,307.30,4.80,3.40,5.80
57926,荔波,20240811155200,30.80,966.40,17.00,135.30,4.70,4.50,13.90
57932,榕江,20240811155200,2.50,957.90,59.50,142.50,7.00,14.80,27.00
59758,海口,20240811155200,30.70,998.80,53.30,99.80,4.30,4.30,9.80
59838,东方,20240811155200,19.70,1006.30,46.40,136.10,5.10,13.80,3.40
59845,儋州,20240811155200,30.00,1035.20,84.50,51.00,6.80,13.50,21.50
59849,琼中,20240811155200,31.50,980.00,35.50,19.30,3.10,6.20,37.00
59855,琼海,20240811155200,15.10,970.30,54.00,305.80,9.10,12.50,5.70
59948,三亚,20240811155200,18.40,958.00,55.50,358.30,9.60,5.90,14.40
59954,陵水,20240811155200,9.70,976.90,53.10,129.90,2.10,12.80,21.00
59981,西沙,20240811155200,4.10,1004.30,27.70,290.90,9.50,4.40,30.20
53399,张北,20240811155200,17.60,988.70,37.20,172.70,9.00,6.40,33.70
53593,蔚县,20240811155200,28.30,964.10,89.40,311.90,2.10,2.20,25.50
53698,石家庄,20240811155200,26.70,1037.30,99.90,51.70,4.30,0.20,21.60
53798,邢台,20240811155200,31.60,1031.00,12.60,285.80,0.50,3.60,16.70
54308,丰宁,20240811155200,5.00,974.00,86.90,337.80,7.90,5.30,25.70
54311,围场,20240811155200,7.10,1040.90,19.50,355.40,5.00,14.10,22.60
54401,张家口,20240811155200,2.30,1034.30,98.10,339.30,6.90,0.00,31.00
54405,怀来,20240811155200,31.20,1001.50,42.60,178.00,2.50,2.50,23.80
54423,承德,20240811155200,3.30,976.10,60.50,248.30,5.30,10.60,21.40
54429,遵化,20240811155200,33.30,977.10,37.10,115.40,3.20,2.60,26.10
54436,青龙,20240811155200,28.40,966.00,78.70,295.80,5.50,8.80,30.30
54449,秦皇岛,20240811155200,27.40,950.00,51.30,218.80,1.50,5.10,36.90
54518,霸州,20240811155200,34.30,969.60,60.70,57.60,0.90,0.50,21.10
54534,唐山,20240811155200,1.30,984.30,12.50,244.80,1.50,4.90,35.40
54535,唐海,20240811155200,9.70,1001.50,41.50,308.20,2.70,9.40,39.20
54539,乐亭,20240811155200,8.30,972.20,89.50,220.70,2.30,10.80,39.60
54602,保定,20240811155200,29.00,1045.10,41.70,183.50,0.00,4.40,36.30
54606,饶阳,20240811155200,5.90,994.10,27.50,52.40,8.50,15.20,17.20
54618,泊头,20240811155200,10.00,1030.10,47.90,249.90,6.90,13.40,33.30
54624,黄骅,20240811155200,4.60,1044.90,12.50,27.90,2.30,14.00,3.90
54705,南宫,20240811155200,19.80,978.00,78.70,158.90,3.20,6.40,17.60
53898,安阳,20240811155200,8.20,968.00,64.00,279.30,7.40,2.70,7.00
53986,新乡,20240811155200,25.90,951.90,19.40,51.10,2.10,3.30,16.20
57051,三门峡,20240811155200,9.00,966.80,69.60,293.80,6.90,10.10,37.00
57067,卢氏,20240811155200,19.20,969.40,50.90,349.10,2.60,2.80,23.20
57071,孟津,20240811155200,6.00,1015.20,60.80,354.20,8.40,10.00,28.80
57077,栾川,20240811155200,20.80,1026.70,85.80,91.70,8.70,15.20,18.00
57083,郑州,20240811155200,16.00,1047.80,14.30,40.20,4.60,11.90,14.00
57084,嵩山,20240811155200,11.70,991.20,41.00,35.90,0.60,7.10,20.20
57089,许昌,20240811155200,8.50,1031.90,13.40,79.50,2.30,15.50,29.00
57091,开封,20240811155200,0.80,959.50,97.80,356.60,6.30,0.80,3.60
57156,西峡,20240811155200,30.20,1029.20,71.60,296.20,7.00,3.10,16.40
57178,南阳,20240811155200,21.80,1025.00,50.40,223.50,1.50,12.70,19.50
57181,宝丰,20240811155200,17.10,1049.00,29.70,125.80,1.00,6.40,5.40
57193,西华,20240811155200,33.30,967.90,24.40,59.30,7.40,15.40,11.20
57285,桐柏,20240811155200,23.90,1046.20,74.80,9.10,5.40,15.60,20.50
57290,驻马店,20240811155200,27.70,1012.80,26.90,154.50,3.00,14.60,18.10
57297,信阳,20240811155200,24.50,964.50,22.80,91.90,3.50,8.50,17.70
58005,商丘,20240811155200,4.50,1036.10,73.10,73.10,4.00,4.70,12.40
58111,永城,20240811155200,31.70,950.10,23.60,315.60,1.50,1.60,0.00
58208,固始,20240811155200,17.20,975.30,20.50,149.90,3.30,4.70,24.40
50136,漠河,20240811155200,26.50,960.50,67.70,131.30,5.00,14.50,23.20
50246,塔河,20240811155200,23.50,1048.30,96.10,308.30,4.40,6.50,21.40
50247,呼中,20240811155200,13.50,1017.20,79.00,210.40,2.60,4.70,1.20
50349,新林,20240811155200,14.30,991.50,61.20,211.50,2.00,1.00,36.60
50353,呼玛,20240811155200,5.50,1014.90,56.30,152.10,5.40,14.00,3.40
50442,加格达奇,20240811155200,0.40,1034.60,71.80,194.10,8.10,9.90,22.40
50468,爱辉,20240811155200,12.50,1002.40,89.00,251.00,4.90,7.30,16.60
50557,嫩江,20240811155200,22.70,981.20,17.90,2.00,2.70,11.10,8.80
50564,孙吴,20240811155200,9.80,1041.30,55.40,95.30,6.20,13.70,2.60
50656,北安,20240811155200,16.60,965.80,11.20,87.20,5.60,15.00,1.40
50658,克山,20240811155200,8.70,1026.20,79.00,316.20,3.80,13.30,2.50
50674,乌伊岭,20240811155200,33.70,1006.60,59.10,166.60,7.80,5.00,8.70
50739,龙江,20240811155200,0.70,1041.40,37.50,150.50,7.90,10.10,1.10
50742,富裕,20240811155200,29.40,1029.90,68.90,41.00,0.90,0.20,3.50
50745,齐齐哈尔,20240811155200,1.50,968.40,64.90,155.40,4.60,11.10,26.80
50756,海伦,20240811155200,23.50,982.40,74.50,232.40,4.20,6.90,34.30
50758,明水,20240811155200,2.00,1041.10,43.00,307.80,7.70,15.70,13.50
50774,伊春,20240811155200,10.70,1043.80,99.80,165.10,8.90,0.80,1.30
50778,同江,20240811155200,29.80,1034.20,84.80,1.50,2.60,4.90,32.10
50788,富锦,20240811155200,7.50,974.10,19.00,306.20,1.70,6.70,18.60
50844,泰来,20240811155200,1.00,1027.60,58.10,128.00,4.00,11.10,31.00
50853,北林,20240811155200,6.70,1012.00,19.80,177.40,1.10,1.60,17.70
50854,安达,20240811155200,5.20,1023.60,29.10,55.10,3.00,3.10,11.80
50862,铁力,20240811155200,15.90,994.10,54.00,343.40,3.40,2.20,9.60
50873,佳木斯,20240811155200,25.10,962.10,33.40,131.10,5.00,15.60,14.40
50877,依兰,20240811155200,14.00,987.90,90.60,250.70,5.20,8.40,23.40
50888,宝清,20240811155200,21.50,995.30,71.10,256.70,4.10,7.40,27.00
50950,肇州,20240811155200,17.20,984.60,28.90,133.30,3.90,14.10,36.70
50953,哈尔滨,20240811155200,32.30,961.50,61.50,187.60,3.60,0.90,34.00
50955,双城,20240811155200,13.60,981.70,58.40,177.60,4.90,12.20,23.60
50963,通河,20240811155200,5.10,969.90,67.00,356.80,5.20,3.30,13.50
50968,尚志,20240811155200,34.50,1048.80,40.60,196.90,8.60,2.70,10.20
50973,勃利,20240811155200,12.70,998.00,12.10,315.00,4.70,11.60,17.80
50978,鸡西,20240811155200,23.50,1013.80,31.80,357.40,0.70,15.40,15.00
50983,虎林,20240811155200,10.60,984.90,83.80,250.90,4.80,0.80,7.70
54094,牡丹江,20240811155200,25.20,994.20,66.50,229.70,8.20,12.30,21.90
54096,绥芬河,20240811155200,31.80,977.00,57.30,164.50,0.20,13.50,34.70
57251,郧西,20240811155200,29.90,978.30,17.70,278.40,7.30,14.80,35.80
57256,十堰,20240811155200,33.10,1035.40,16.10,68.90,0.30,3.10,39.90
57259,房县,20240811155200,15.10,966.00,37.60,30.30,5.40,3.30,15.30
57265,老河口,20240811155200,13.60,981.60,82.40,195.60,8.60,11.70,35.30
57278,襄樊,20240811155200,14.00,974.40,55.20,84.10,2.80,8.90,2.60
57279,枣阳,20240811155200,15.10,1032.90,23.60,353.40,8.40,2.90,22.40
57355,巴东,20240811155200,8.70,960.10,32.30,239.10,1.30,1.10,29.40
57358,秭归,20240811155200,11.90,954.50,99.90,140.70,6.10,11.50,16.30
57359,兴山,20240811155200,0.00,977.30,86.80,14.00,1.70,8.00,13.40
57363,南漳,20240811155200,19.70,970.10,31.20,199.90,3.10,4.80,33.30
57378,钟祥,20240811155200,6.70,985.00,90.90,35.40,0.30,1.20,34.50
57381,随州,20240811155200,26.60,1023.60,19.20,248.70,8.10,14.30,29.40
57395,大悟,20240811155200,29.40,951.90,15.70,39.40,4.40,15.70,8.70
57399,麻城,20240811155200,31.30,964.90,82.10,251.10,0.20,1.30,6.20
57439,利川,20240811155200,8.50,983.30,34.70,355.20,3.50,5.70,30.70
57445,建始,20240811155200,13.80,964.10,50.40,0.60,7.70,7.60,9.30
57447,恩施,20240811155200,1.00,1019.20,23.90,70.50,1.10,7.60,25.10
57458,五峰,20240811155200,10.50,952.50,99.00,142.00,7.40,14.30,33.10
57461,宜昌,20240811155200,12.70,1044.80,54.50,236.20,3.40,13.30,26.70
57476,荆州,20240811155200,1.90,960.20,97.40,6.00,4.30,5.80,1.80
57482,孝感,20240811155200,17.10,982.70,96.40,208.30,1.90,0.30,38.80
57483,天门,20240811155200,23.20,1025.20,49.20,338.90,7.70,0.20,0.90
57493,江夏,20240811155200,15.40,979.80,74.10,313.30,4.60,15.80,24.70
57494,武汉,20240811155200,33.20,963.10,81.40,145.40,8.50,0.00,31.40
57545,来凤,20240811155200,27.90,971.90,88.40,10.20,9.80,6.00,18.50
57573,监利,20240811155200,1.70,1040.40,62.60,255.10,0.80,7.80,34.00
57581,洪湖,20240811155200,8.70,1045.20,94.90,44.10,0.20,8.20,32.60
57583,嘉鱼,20240811155200,0.10,958.10,27.40,183.30,1.20,12.80,8.70
57595,通山,20240811155200,14.80,958.10,45.30,237.90,0.00,3.00,3.30
58402,英山,20240811155200,20.00,1039.00,31.80,241.90,4.60,13.60,17.00
58407,黄石,20240811155200,10.40,986.60,21.00,349.20,7.10,5.90,28.50
58500,阳新,20240811155200,12.30,960.20,56.40,327.40,8.30,1.80,26.00
57554,桑植,20240811155200,19.70,1027.80,49.90,269.70,5.90,4.50,22.80
57562,石门,20240811155200,31.10,1009.50,56.10,206.10,3.70,11.20,3.20
57574,南县,20240811155200,8.40,1002.80,60.20,49.00,4.70,2.40,33.40
57584,岳阳,20240811155200,21.80,1002.40,97.20,59.10,7.80,1.60,26.60
57642,保靖,20240811155200,16.30,977.40,17.80,301.20,0.40,13.70,6.20
57649,吉首,20240811155200,11.40,988.20,19.00,312.70,7.70,10.40,34.10
57655,沅陵,20240811155200,26.70,1043.60,87.30,175.10,1.60,1.60,19.30
57662,常德,20240811155200,16.30,974.00,12.80,18.10,1.60,6.00,32.50
57669,安化,20240811155200,34.60,953.60,34.30,15.90,6.20,6.10,32.40
57671,沅江,20240811155200,1.60,989.80,98.60,308.20,8.10,14.80,21.00
57673,湘阴,20240811155200,6.00,1003.20,80.30,107.70,2.00,15.60,38.00
57679,马坡岭,20240811155200,18.90,1015.20,77.40,325.20,4.50,1.40,18.60
57682,平江,20240811155200,16.30,1045.40,81.10,96.00,4.20,9.40,27.10
57687,长沙,20240811155200,30.60,977.50,89.50,357.40,2.50,5.30,25.70
57745,芷江,20240811155200,30.80,1026.20,41.90,342.10,4.60,12.20,5.00
57749,怀化,20240811155200,16.70,965.00,33.10,265.60,0.30,7.70,26.00
57752,溆浦,20240811155200,30.00,991.10,59.80,231.30,1.70,10.90,2.50
57758,洞口,20240811155200,11.10,981.50,99.70,36.70,4.20,4.40,34.10
57761,新化,20240811155200,1.80,1023.00,85.00,272.60,9.20,4.10,9.90
57766,邵阳市,20240811155200,29.00,1049.50,95.00,210.90,4.60,5.30,31.70
57774,双峰,20240811155200,10.10,974.20,97.80,45.30,0.50,4.80,31.80
57776,南岳,20240811155200,7.20,1029.00,84.40,308.50,0.50,3.30,20.40
57779,攸县,20240811155200,9.80,1028.90,39.70,336.80,1.90,8.80,4.60
57780,株洲,20240811155200,26.30,1002.10,74.60,345.40,1.70,13.60,36.30
57841,靖州,20240811155200,6.50,988.10,63.30,311.60,2.30,9.10,36.90
57845,通道,20240811155200,17.80,1039.10,18.70,350.20,8.10,10.30,18.70
57853,武冈,20240811155200,18.70,982.80,29.10,278.70,1.80,8.80,15.50
57857,城步,20240811155200,3.90,998.80,70.10,315.30,1.00,2.70,15.90
57860,邵阳县,20240811155200,32.90,1049.50,67.40,224.60,7.60,14.70,16.20
57866,永州,20240811155200,19.90,1017.00,98.30,197.90,6.20,8.20,28.10
57872,衡阳市,20240811155200,4.30,975.80,46.80,178.20,8.60,1.10,16.90
57874,常宁,20240811155200,20.40,980.00,97.60,324.60,4.00,7.80,39.90
57889,桂东,20240811155200,20.20,1007.70,61.00,318.10,2.50,2.40,17.90
57965,道县,20240811155200,15.30,994.40,19.30,260.50,1.40,13.60,18.40
57972,郴州,20240811155200,27.60,955.10,26.60,247.20,0.90,5.40,25.40
57974,嘉禾,20240811155200,14.70,1004.60,87.60,230.40,9.80,9.20,35.00
